item,status,reason,missing_evidence
Qualification,PENDING_REAL_ACQUISITION,"evidence_maturity=QUALIFICATION, mechanism=None",campaign_qualification_preflight_report.json
Association,PENDING_REAL_ACQUISITION,"evidence_maturity=VALIDATION, mechanism=None",association_policy (frozen calibration policy)
Experimental Design,PENDING_REAL_ACQUISITION,"evidence_maturity=QUALIFICATION, mechanism=None",study_sizing_decision.json
Dataset,AVAILABLE,"evidence_maturity=DEVELOPMENT, mechanism=None",
RQ1,AVAILABLE,"evidence_maturity=VALIDATION, mechanism=None",06_statistics/confirmatory_future_analysis_report.json (CONFIRMATORY) / 06_statistics/rq1_acquisition_dependence_report.json (VALIDATION)
RQ2,AVAILABLE,"evidence_maturity=VALIDATION, mechanism=None",06_statistics/confirmatory_future_analysis_report.json (CONFIRMATORY) / 06_statistics/rq2_representation_comparison_report.json (VALIDATION)
RQ3,PENDING_REAL_ACQUISITION,"evidence_maturity=None, mechanism=None",06_statistics/confirmatory_future_analysis_report.json (CONFIRMATORY) / 06_statistics/confirmatory_statistical_plan_report.json (VALIDATION)
RQ4,PENDING_REAL_ACQUISITION,"evidence_maturity=None, mechanism=None",06_statistics/confirmatory_future_analysis_report.json (CONFIRMATORY) / 06_statistics/confirmatory_statistical_plan_report.json (VALIDATION)
Coverage,AVAILABLE,"evidence_maturity=VALIDATION, mechanism=None",06_statistics/confirmatory_future_analysis_report.json (CONFIRMATORY) / 06_statistics/coverage_analysis_report.json (VALIDATION)
Sensitivity,AVAILABLE,"evidence_maturity=VALIDATION, mechanism=None",
S1,PENDING_REAL_ACQUISITION,"evidence_maturity=ENGINEERING, mechanism=None",06_statistics/channel_transport_report.json
S2,PENDING_REAL_ACQUISITION,"evidence_maturity=ENGINEERING, mechanism=None",06_statistics/offline_nearlive_report.json
Provenance,PENDING_REAL_ACQUISITION,"evidence_maturity=VALIDATION, mechanism=None",on-demand chain reconstruction over real inference_runs
Results,PENDING_REAL_ACQUISITION,"evidence_maturity=None, mechanism=None",RQ1-4 + Coverage canonical reports (aggregate)
Discussion,AVAILABLE,"evidence_maturity=None, mechanism=None",
Conclusion,AVAILABLE,"evidence_maturity=None, mechanism=None",
rq1_protected_future,PROTECTED,protected_future_test_status=UNTOUCHED,"confirmatory readiness (protocol_freeze_readiness); a real, later acquisition period; run_confirmatory_future_analysis"
rq3_reset_vs_continuous,PENDING_REAL_ACQUISITION,0 real captures with RQ3 metadata declared of 80 valid pairs targeted (160 captures),real RESET/CONTROL PRE/POST captures (0 today)
rq4_packet_content_dependence,NOT_ELIGIBLE,0/7 enrolled units eligible,"NOT_CONFIRMED (encoded as NOT_ELIGIBLE, no third state in schema): configurable_payload and configurable_address are NOT_DOCUMENTED in docs/ble/physical_device_inventory.json; 0 of 21 real captures referencing this unit have ever declared packet_condition=CONTROLLED_VARIANT. No verified evidence this unit can be firmware/config-controlled to produce a distinguishable ORIGINAL vs CONTROLLED_VARIANT packet. Would require a real, documented firmware or configuration control test to move to ELIGIBLE.; NOT_CONFIRMED (encoded as NOT_ELIGIBLE, no third state in schema): configurable_payload/configurable_address NOT_DOCUMENTED; manufacturer itself is NOT_DOCUMENTED (registry field is null, not backfilled from the family name); 0 of 26 real captures for this unit have ever declared packet_condition=CONTROLLED_VARIANT. Not the same model as CC2541SensorTag despite sharing the TI SensorTag family label (CC2541=BLE4.0-era, CC2650=BLE4.2/5-era, different radio chips). Would require a real, documented firmware/config control test to move to ELIGIBLE.; NOT_CONFIRMED (encoded as NOT_ELIGIBLE, no third state in schema): registered device_family=""TI sensortag"" is unverified (looks like operator copy/paste, not a hardware attestation per docs/ble/physical_device_inventory.json); configurable_payload/configurable_address NOT_DOCUMENTED; 0 of 30 real captures for this unit have ever declared packet_condition=CONTROLLED_VARIANT. Would require a real, documented firmware/config control test to move to ELIGIBLE.; NOT_CONFIRMED (encoded as NOT_ELIGIBLE, no third state in schema): same caveat as keyfobdemo 01 -- registered device_family=""TI sensortag"" unverified; configurable_payload/configurable_address NOT_DOCUMENTED; 0 of 15 real captures for this unit have ever declared packet_condition=CONTROLLED_VARIANT. Would require a real, documented firmware/config control test to move to ELIGIBLE.; NOT_CONFIRMED (encoded as NOT_ELIGIBLE, no third state in schema): commercial Shelly Plug S Gen3, closed consumer firmware with no documented BLE-advertising-payload customization interface; configurable_payload/configurable_address NOT_DOCUMENTED; 0 of 22 real captures for this unit have ever declared packet_condition=CONTROLLED_VARIANT. Would require a real, documented firmware/config control test to move to ELIGIBLE.; SYNTHETIC-UNIT-00: no reason recorded; SYNTHETIC-UNIT-01: no reason recorded"
strong_native_sdr_association,BLOCKED,association_policy_status=NONE,a calibration campaign producing a policy that satisfies the real acceptance criteria (every real attempt today reports NO_THRESHOLD_SATISFIES_CRITERIA)
confirmatory_protocol_freeze,BLOCKED,15 required fields/gates still missing,threshold_selection_procedure; operating_threshold_ms; rq2_primary_branch; rq3_primary_analysis; sensitivity_analyses; preprocessing_profile; rq3_reset_control_definition; non_inferiority_margin; non_inferiority_direction; alpha; confirmatory_hypotheses; holm_family; qualification_state; association_policy_state; rq2_primary_selection
